  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
    2230    8.453815e+00   9.347e-04   9.146e-04   7.653e-02        0
    2240    8.447914e+00   8.030e-02   2.431e-02   1.952e+00        7
    2250    8.443680e+00   2.281e-02   2.425e-02   1.027e-01        0
    2260    8.438382e+00   1.849e-01   2.432e-02   1.497e-01        0
    2270    8.436211e+00   4.418e-02   4.684e-03   1.444e+00        0
    2280    8.429664e+00   9.011e-01   4.204e-03   4.745e+00        0
    2290    8.424102e+00   2.604e-02   3.444e-03   4.996e+00        4
    2300    8.422280e+00   2.729e-02   2.619e-03   2.532e-01        0
    2310    8.417613e+00   1.353e-01   2.150e-03   5.403e-02        0
    2320    8.415072e+00   2.183e-02   6.095e-03   4.825e-01        0
    2330    8.400697e+00   1.483e-01   4.485e-03   7.989e-01        0
    2340    8.396044e+00   3.969e-03   3.477e-03   3.866e-01        0
    2350    8.391813e+00   1.042e-02   3.455e-03   1.312e+00        0
    2360    8.384888e+00   5.640e-01   9.569e-03   7.658e+00        0
    2370    8.382794e+00   2.057e-02   4.244e-03   1.051e+00        0
    2380    8.381742e+00   8.426e-03   3.969e-03   1.592e+00        0
    2390    8.380168e+00   5.234e-02   4.339e-03   1.145e-01        0
    2400    8.374880e+00   1.948e-01   5.471e-03   7.340e-01        0
    2410    8.372668e+00   3.609e-02   1.465e-02   4.339e+00        0
    2420    8.370097e+00   3.408e-03   5.992e-03   3.812e-01        0
    2430    8.364313e+00   2.213e-02   4.772e-02   3.572e-01        0
    2440    8.354455e+00   3.440e-01   5.657e-02   1.055e-01        0
    2450    8.348956e+00   6.031e-02   8.240e-03   1.838e+00        0
    2460    8.345891e+00   9.764e-03   1.593e-03   1.051e+00        0
    2470    8.345087e+00   9.084e-03   5.287e-03   1.040e-01        0
    2480    8.343733e+00   1.856e-02   8.949e-03   1.561e-01        0
    2490    8.341304e+00   4.821e-02   1.632e-03   3.352e-01        0
    2500    8.339342e+00   6.432e-02   3.470e-04   1.386e-01        0
    2510    8.331768e+00   2.111e-01   1.017e-02   4.586e-01        0
    2520    8.316862e+00   1.775e-01   2.529e-02   5.252e+00        4
    2530    8.310563e+00   1.332e-01   3.189e-03   6.152e+00        0
    2540    8.308687e+00   2.424e-02   1.024e-03   5.487e-02        0
    2550    8.305567e+00   2.410e-01   3.131e-03   5.605e-01        0
    2560    8.303380e+00   4.802e-04   1.482e-04   2.638e-01        0
    2570    8.301577e+00   8.090e-02   7.001e-03   5.684e+00        3
    2580    8.299093e+00   1.139e-01   3.893e-03   2.236e+00        0
    2590    8.298026e+00   7.189e-03   1.576e-04   2.464e-01        0
    2600    8.295476e+00   1.452e-01   1.189e-02   1.476e+00        0
    2610    8.293948e+00   1.006e-01   4.025e-03   1.967e+00        0
    2620    8.291791e+00   1.536e-02   7.002e-03   1.806e+00        0
    2630    8.290485e+00   2.143e-03   1.492e-02   4.158e-01        0
    2640    8.283696e+00   2.502e-02   2.465e-02   1.108e+00        0
    2650    8.276413e+00   2.554e-02   2.472e-02   1.522e-01        0
    2660    8.269390e+00   3.738e-02   2.484e-02   2.952e+00        0
    2670    8.264189e+00   2.991e-02   2.416e-02   6.378e-01        0
    2680    8.258540e+00   2.292e-02   1.384e-02   6.767e-01        0
    2690    8.256890e+00   2.192e-02   2.277e-03   1.754e-02        0
    2700    8.252100e+00   1.728e-01   2.428e-02   3.624e+00        3
    2710    8.245097e+00   1.817e-01   6.823e-02   4.035e-01        0
    2720    8.240396e+00   9.168e-02   7.861e-02   1.348e-01        0
    2730    8.236110e+00   4.836e-02   8.083e-03   3.863e+00        4
    2740    8.230835e+00   2.355e-02   6.242e-04   1.820e+00        0
    2750    8.229350e+00   7.689e-03   1.136e-03   6.221e-01        0
    2760    8.228166e+00   2.868e-02   9.172e-03   1.842e+00        0
    2770    8.227284e+00   5.161e-03   5.914e-03   1.456e-01        0
    2780    8.226930e+00   1.107e-03   3.161e-04   2.759e-01        0
    2790    8.226420e+00   1.648e-02   6.298e-03   1.302e+00        0
    2800    8.223494e+00   6.507e-02   8.383e-03   3.007e+00        2
    2810    8.219234e+00   7.480e-03   1.805e-02   5.715e-02        0
    2820    8.216958e+00   5.648e-03   1.373e-03   1.065e-01        0
    2830    8.201508e+00   1.177e-01   7.393e-03   4.864e+00        4
    2840    8.196735e+00   3.573e-02   1.018e-02   2.358e+00        0
    2850    8.193047e+00   5.135e-03   2.761e-04   2.340e-01        0
    2860    8.192332e+00   8.412e-03   9.189e-03   3.235e-02        0
    2870    8.191707e+00   5.985e-03   8.637e-03   6.603e-02        0
    2880    8.183953e+00   9.426e-02   1.046e-01   4.739e-02        0
    2890    8.180590e+00   2.362e-02   1.394e-01   2.815e-01        0
    2900    8.179369e+00   1.391e-02   2.405e-03   5.086e-01        0
    2910    8.178491e+00   1.693e-02   4.711e-03   2.432e-01        0
    2920    8.177914e+00   1.915e-02   2.004e-02   2.538e-01        0
    2930    8.177682e+00   7.532e-02   5.410e-02   1.597e+00        0
    2940    8.176978e+00   2.764e-03   2.717e-03   3.157e+00        0
    2950    8.174755e+00   5.537e-03   2.005e-02   4.050e-02        0
    2960    8.162072e+00   3.626e-02   2.734e-02   5.370e-02        0
    2970    8.156872e+00   1.463e-02   2.786e-02   8.190e-01        0
    2980    8.148745e+00   9.928e-02   4.018e-02   1.091e+00        0
    2990    8.133382e+00   1.357e-02   1.884e-02   9.965e-01        0
    3000    8.127463e+00   3.612e-02   3.396e-02   1.185e+00        0
    3010    8.093001e+00   3.539e-01   3.361e-02   5.831e-01        0
    3020    8.050709e+00   1.621e-01   7.942e-02   4.894e+00        0
    3030    8.029862e+00   2.909e-02   1.183e-01   5.294e-01        0
    3040    8.024269e+00   3.287e-03   1.940e-03   3.087e-01        0
    3050    8.011760e+00   1.642e-01   3.429e-02   4.214e-02        0
    3060    8.007581e+00   1.567e-02   4.199e-02   3.034e-01        0
    3070    7.996538e+00   2.901e-01   5.842e-02   3.747e+00        0
    3080    7.992922e+00   1.028e-02   7.195e-02   2.335e+00        2
    3090    7.978972e+00   1.782e-01   1.248e-01   6.149e+00        0
    3100    7.970062e+00   1.594e-02   2.640e-02   5.330e-02        0
    3110    7.964314e+00   1.812e-02   4.076e-02   1.141e+00        6
